Name ,Sport,Contact,Website,Address,District,Latitude,Longitude
Parkdale Secondary College,Basketball,03 9580-6311,https://www.parkdalesc.vic.edu.au/,"116 Warren Rd, Mordialloc VIC 3195",Mordialloc VIC 3195,,
Mentone Tennis Club,Tennis,400874966,https://play.tennis.com.au/MentoneTennisClub,"First St &, Nepean Hwy, Parkdale VIC 3195",Parkdale VIC 3195,,
ZONE BOWLING Moorabbin,Tenpin Bowling,03 9021 1403,https://www.zonebowling.com/venues/vic/zone-bowling-moorabbin,"938 Nepean Hwy, Moorabbin VIC 3189",Moorabbin VIC 3189,,
Mordialloc Community Centre,Gymnastics,9580 3675,https://mordialloccommunitycentre.org.au/,"115A Warren Rd, Mordialloc VIC 3195",Mordialloc VIC 3195,,
Victoria University Aquatics Centre,Aquatics,03 9919 4460,https://www.vu.edu.au/about-vu/facilities-services/our-facilities/gyms-fitness-centres/footscray-park-aquatic-fitness-centre,"Footscray Park Campus, Ballarat Road, Footscray VIC 3011",Footscray VIC 3011,,
Moonee Valley Athletics Track,Athletics,03 9243 8888,https://mvcc.vic.gov.au/sportsparkplay/moonee-valley-athletics-centre/,"Corio Street, Moonee Ponds VIC 3039",Moonee Ponds VIC 3039,,
Special Olympics Club,Basketball,411239575,https://www.specialolympics.com.au/,"40 Brougham Street, Eltham VIC 3095",Eltham VIC 3095,,
Beaconsfield Tennis Club,Tinnes,0412 682 569,https://www.tennis.com.au/beaconsfieldtc/,"55 Old Princes Highway, Beaconsfield VIC 3807",Beaconsfield VIC 3807,,
Colac Tenpin Bowl,Tenpin Bowling,(03) 5231 4100,https://colactenpinbowling.business.site/,"86 Murray Street, Colac VIC 3250",Colac VIC 3250,,
Avondale Heights Tennis Club,Tennis,09 3186 063,https://avondaleheightstennis.com/,"Doyle street Reserve, Cornwall street ,Avondale Heights VIC 3034",Avondale Heights VIC 3034,,
Core 24 Somerville,Aquatics,0403 749 723,https://core24.com.au/somerville/,"55 Grant Road, Somerville VIC 3912",Somerville VIC 3912,,
Ballam Park athletics track,Athletics,0401 491 480,https://bpathletics.com.au/,"Ballam Park, Benanee Road, Frankston VIC 3199",Frankston VIC 3199,,
Frankston South Community Centre,Basketball,0409 542 238,https://www.frankston.vic.gov.au/Things-To-Do/Community-Centres-and-Neighbourhood-Houses/Frankston-South-Community-and-Recreation-Centre,"55 Towerhill Road, Frankston South VIC 3199",Frankston South VIC 3199,,
